,Fórmula o principio Activo,Descripción Medicamento,Laboratorio,Precio referencial sin convenio abril 2022,Descuento,Precio referencial con convenio abril 2022
0,ACEITES DE PERSEA GRATISSIMA Y GLYCINE,PIASCLEDINE X30CAP.,PHARMA INVESTI,$26.799,23%,$20.635
1,ACENOCUMAROL,ACEBRON (B) 4mg X20COM.,RECALCINE,$19.999,15%,$16.999
2,ACENOCUMAROL,ISQUELIUM (B) 4mg X30COM.,SYNTHON,$9.899,39%,$6.038
3,ACETAZOLAMIDA,ACETAZOLAMIDA 250mg X20COM.,SYNTHON,$5.199,57%,$2.236
4,ACICLOVIR,ACICLOVIR (B) 400mg X35COM.,SYNTHON,$7.799,47%,$4.133
5,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X5g,SYNTHON,$1.599,57%,$688
6,ACICLOVIR DERMICO,ACICLOVIR 5% CR.X15g,SYNTHON,$2.399,71%,$696
7,ACIDO ACETILSALICILICO,CARDIOASPIRINA EC (R) 100mg X50TAB.,SYNTHON,$11.399,10%,$10.259
8,ACIDO ACETILSALICILICO,ASPIRINA PED.(R) 100mg X42COM.,SYNTHON,$3.999,11%,$3.559
9,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg TIRA X10TAB.,SYNTHON,$1.999,15%,$1.699
10,ACIDO ACETILSALICILICO,ASPIRINA AD.500mg CJ.X10TIRAS,SYNTHON,$10.099,45%,$5.554
11,ACIDO ACETILSALICILICO,(R) CARDIOASPIRINA EC 325mg X30,SYNTHON,$15.699,54%,$7.222
12,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO (B) 100mg X100COM.,OPKO,$3.799,61%,$1.482
13,ACIDO ACETILSALICILICO,AC.ACETIL SALICILICO (B) 100mg X100COM.,HOSPIFARMA,$3.799,64%,$1.368
14,ACIDO ASCORBCIO,VITAMINA C 100mg X200COM.,BYB FARMACEUTICA,$2.999,54%,$1.380
15,ACIDO CONDROITINSULFURICO,CONDROSULF 800mg COMP.X30,ITF (EX LABOMED),$47.099,42%,$27.317
